term,type,category,age,mood,english
ClientDialogues2/StorageConstraint_21,StorageConstraint,Hot,Any,Anxious,Please tell me that you stored my hot package properly.
ClientDialogues2/StorageConstraint_22,StorageConstraint,Hot,Any,Neutral,"My package is from $REGION$, I hope the trip didn't let it cool down."
ClientDialogues2/StorageConstraint_23,StorageConstraint,Hot,Any,Friendly,"Be careful, my package may be very hot."
ClientDialogues2/StorageConstraint_24,StorageConstraint,Hot,Any,Neutral,"I am waiting for my delivery from $REGION$, it needs to be stored in a hot room."
ClientDialogues2/StorageConstraint_25,StorageConstraint,Cold,Any,Neutral,My package is supposed to stay cold otherwise it will rot.
ClientDialogues2/StorageConstraint_26,StorageConstraint,Cold,Any,Neutral,"I am waiting for my delivery from $REGION$, I hope you kept it cold enough."
ClientDialogues2/StorageConstraint_27,StorageConstraint,Cold,Any,Neutral,"I ordered special catnip seeds, they need to be refrigerated so they don't sprout."
ClientDialogues2/StorageConstraint_28,StorageConstraint,Cold,Any,Neutral,My package is a special fish delivery.
ClientDialogues2/StorageConstraint_29,StorageConstraint,Cold,Any,Neutral,My package is a box of ice creams.
ClientDialogues2/StorageConstraint_30,StorageConstraint,Cold,Any,Grumpy,"I won't tell you what's in my package, just that it has to stay cold!!"
ClientDialogues2/StorageConstraint_31,StorageConstraint,Cold,Any,Neutral,Have you stored my cold package properly?
ClientDialogues2/StorageConstraint_32,StorageConstraint,Cold,Any,Neutral,My package is supposed to be refrigerated.
ClientDialogues2/StorageConstraint_33,StorageConstraint,Cold,Any,Anxious,Please tell me that you stored my cold package properly.
ClientDialogues2/StorageConstraint_34,StorageConstraint,Cold,Any,Grumpy,My package contains ice cubes. Don't ask me why I ordered that.
ClientDialogues2/StorageConstraint_35,StorageConstraint,Bright,Any,Neutral,My package is supposed to stay in a bright room.
ClientDialogues2/StorageConstraint_36,StorageConstraint,Bright,Any,Neutral,"I ordered sunflowers, they need a lot of light."
ClientDialogues2/StorageConstraint_37,StorageConstraint,Bright,Any,Neutral,"My package contains very special crystals, they have to stay in a bright environment."
ClientDialogues2/StorageConstraint_38,StorageConstraint,Bright,Any,Neutral,"My package is from $REGION$, it should be stored in a room with a large amount of light."
ClientDialogues2/StorageConstraint_39,StorageConstraint,Bright,Any,Neutral,"My package is very special, it needs to stay in a bright environment."
ClientDialogues2/StorageConstraint_40,StorageConstraint,Bright,Any,Anxious,"My package contains very rare plants from $REGION$, they absolutely need to stay in a bright room!"
ClientDialogues2/StorageConstraint_41,StorageConstraint,Bright,Any,Neutral,Have you stored my bright package properly?
ClientDialogues2/StorageConstraint_42,StorageConstraint,Bright,Any,Neutral,My package contains flowers that always need some light.
ClientDialogues2/StorageConstraint_43,StorageConstraint,Bright,Any,Grumpy,"You don't need to know what's in my package, just that it has to stay in a bright room!!"
ClientDialogues2/StorageConstraint_44,StorageConstraint,Dark,Any,Neutral,My package is supposed to stay in a dark room.
ClientDialogues2/StorageConstraint_45,StorageConstraint,Dark,Any,Neutral,"I ordered midnight spores, they need to stay away from the light."
ClientDialogues2/StorageConstraint_46,StorageConstraint,Dark,Any,Neutral,"My package contains photographic films, they have to stay in a dark room."
ClientDialogues2/StorageConstraint_47,StorageConstraint,Dark,Any,Anxious,"My package is from $REGION$, it should be stored in a room without a single ray of light."
ClientDialogues2/StorageConstraint_48,StorageConstraint,Dark,Any,Neutral,"My package is very special, it needs to stay in a dark environment."
ClientDialogues2/StorageConstraint_49,StorageConstraint,Dark,Any,Anxious,"My package contains very rare seeds from $REGION$, they absolutely need to stay in the dark!"
ClientDialogues2/StorageConstraint_50,StorageConstraint,Dark,Any,Neutral,Have you stored my dark package properly?
ClientDialogues2/StorageConstraint_51,StorageConstraint,Dark,Any,Grumpy,"My package contains photographic films, I hope you know it needs to be stored in the dark."
ClientDialogues2/StorageConstraint_52,StorageConstraint,Dark,Any,Grumpy,"You don't need to know what's in my package, just that it has to stay in a dark room!!"
ClientDialogues2/VisualElement_0,VisualElement,StickerFrog,Any,Neutral,It has this very cute sticker with a frog.
ClientDialogues2/VisualElement_1,VisualElement,RibbonBlue,Any,Neutral,It is supposed to have a blue ribbon.
ClientDialogues2/VisualElement_2,VisualElement,StickerCrocodileBiteMark,Any,Neutral,My aunt told me her pet crocodile tried to eat the parcel.
ClientDialogues2/VisualElement_3,VisualElement,RibbonYellow,Any,Neutral,I believe the parcel is wrapped with a yellow ribbon.
ClientDialogues2/VisualElement_4,VisualElement,StickerCatClawMark,Any,Neutral,"My gran has very long claws, they might have scratched the parcel."
ClientDialogues2/VisualElement_5,VisualElement,StickerDuck,Any,Neutral,It has a special sticker with a duck.
ClientDialogues2/VisualElement_6,VisualElement,StickerLemon,Any,Neutral,I believe there is a lemon sticker on it.
ClientDialogues2/VisualElement_7,VisualElement,StickerCrocodileClawMark,Any,Neutral,There are a lot of crocodiles where my parcel comes from.
ClientDialogues2/VisualElement_8,VisualElement,StickerEagleClawMark,Any,Neutral,My grandpa told me the package was attacked by an eagle.
ClientDialogues2/VisualElement_9,VisualElement,StickerSlothClawMark,Any,Neutral,I was told a sloth tried to steal my package.
ClientDialogues2/VisualElement_10,VisualElement,RibbonRed,Any,Neutral,My package has a red ribbon.
ClientDialogues2/VisualElement_11,VisualElement,RibbonAny,Any,Neutral,My cousin loves to put ribbons on my packages.
ClientDialogues2/VisualElement_12,VisualElement,StickerLavender,Any,Neutral,It has a sprig of lavender sticker.
ClientDialogues2/VisualElement_13,VisualElement,RibbonAny,Any,Neutral,It is supposed to have a ribbon on it.
ClientDialogues2/VisualElement_14,VisualElement,RibbonAny,Any,Neutral,I asked my sister to put a ribbon on it.
ClientDialogues2/VisualElement_15,VisualElement,StickerClover,Any,Neutral,It has this very cute sticker with a clover.
ClientDialogues2/Weight_0,Weight,Light,Any,Neutral,My parcel may not be heavy at all.
ClientDialogues2/Weight_1,Weight,Medium,Any,Neutral,It will not be a challenge for you to carry it.
ClientDialogues2/Weight_2,Weight,Heavy,Any,Neutral,"I warn you, it's a heavy package."
ClientDialogues2/Weight_3,Weight,VeryHeavy,Any,Neutral,"Do you have someone to help you carry it? No? Well, good luck."
